movieId,title,genres,diretor,atores,poster,backdrop
34,Babe (1995),Children|Drama,Chris Noonan,"Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving, Miriam Flynn",/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,/agkZziO4ZPAsVfKUrJD68lys08P.jpg
36,Dead Man Walking (1995),Crime|Drama,Tim Robbins,"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry, R. Lee Ermey",/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg,/gwRWQeHfPuA8mg73kydQsM8rdXq.jpg
38,It Takes Two (1995),Children|Comedy,Andy Tennant,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen, Philip Bosco",/4CptjFLiIJXtjc3dykS7vkEHMbw.jpg,/yS3E5LOcFsk3eWGh3oWGnsfV1M8.jpg
39,Clueless (1995),Comedy|Romance,Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd, Donald Faison",/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg,/65d0MccsiRSPTVicregKQL8owoo.jpg
40,"Cry, the Beloved Country (1995)",Drama,Darrell James Roodt,"Richard Harris, James Earl Jones, Charles S. Dutton, Vusi Kunene, Tsholofelo Wechoemang",/96TZr6o4kuiIEryC5jkzaQoP6m5.jpg,/i1b7potegowFC5g11Bs4kdqOVDE.jpg
41,Richard III (1995),Drama|War,Richard Loncraine,"Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr., Kristin Scott Thomas",/cBg1AMH1ucPsDlNMfcHlrreQXQX.jpg,/l8gbqIvow8rXFblM5IzYI5AKN8Z.jpg
42,Dead Presidents (1995),Action|Crime|Drama,Albert Hughes; Allen Hughes,"Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez, Rose Jackson",/eGfsSXizR11tTHVo0kuOOFPAxZt.jpg,/c8H6Xi9im1tT6HP9PA9HpFE3sOy.jpg
43,Restoration (1995),Drama,Michael Hoffman,"Robert Downey Jr., Meg Ryan, Sam Neill, David Thewlis, Hugh Grant",/glOCWK6AMl6FVHxLikl5OD8xw2B.jpg,/5uLnlBxEiy1rSK6Bqexa3gxzfYu.jpg
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Paul W. S. Anderson,"Robin Shou, Cary-Hiroyuki Tagawa, Linden Ashby, Bridgette Wilson, Christopher Lambert",/9YhpvhhvLrtL1wlwEfpVL16GI9d.jpg,/dfU9xyEEyLxvZ5unTn05Whm9Lce.jpg
45,To Die For (1995),Comedy|Drama|Thriller,Gus Van Sant,"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck, Illeana Douglas",/whz4bwvqE1OmQHIyqHdZD8jU9CO.jpg,/7LNkP4ofj5pPgPeyEXC5z3U4y8a.jpg
46,How to Make an American Quilt (1995),Drama|Romance,Jocelyn Moorhouse,"Winona Ryder, Anne Bancroft, Ellen Burstyn, Kate Nelligan, Jean Simmons",/pI9UAemlWgdrnjRgYJsbTk8BSJc.jpg,/nOPCU3zmLTp1A6KpPtHTuAyzkf5.jpg
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,David Fincher,"Morgan Freeman, Brad Pitt, Gwyneth Paltrow, John Cassini, Peter Crombie",/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,/i5H7zusQGsysGQ8i6P361Vnr0n2.jpg
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Mike Gabriel; Eric Goldberg,"Irene Bedard, Mel Gibson, David Ogden Stiers, John Kassir, Christian Bale",/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,/fDZ2DCKW2D7J0ABNr9EICdD2H1s.jpg
49,When Night Is Falling (1995),Drama|Romance,Patricia Rozema,"Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox, Don McKellar",/6Ac5GLwJ01uli5mCXqXwquR36Y1.jpg,/5CCPKLWg0YWajQEXWYeY2w5c8qS.jpg
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,Bryan Singer,"Stephen Baldwin, Gabriel Byrne, Benicio del Toro, Kevin Pollak, Kevin Spacey",/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg,/hy0Hx9fMPk2fmw26Li60z1S2giU.jpg
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Woody Allen,"Woody Allen, Mira Sorvino, Helena Bonham Carter, F. Murray Abraham, Donald Symington",/ice135yQZp4iX2SgCmd90nKgS5j.jpg,/hSY4PYJSFW5JWeQqOs2LAzG0W8a.jpg
53,Lamerica (1994),Adventure|Drama,Gianni Amelio,"Enrico Lo Verso, Michele Placido, Piro Milkani, Carmelo Di Mazzarelli, Elida Janushi",/nnLpA4mqb3gvhNJQZ00cOyBmeq3.jpg,/1udmBSCUyP6FDrnUNQ9CjSlp0iz.jpg
54,"Big Green, The (1995)",Children|Comedy,Holly Goldberg Sloan,"Olivia D'Abo, Steve Guttenberg, Chauncey Leopardi, Patrick Renna, Billy L. Sullivan",/nVHqIuBTcTLmAIrML7T704UwfNI.jpg,/bSE6JsSOvY350NhaT2nhUhl5hUE.jpg
55,Georgia (1995),Drama,Ulu Grosbard,"Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich, John Doe",/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg,/mHi1zNvKnfLqV85RDDGmuQoPMP8.jpg
57,Home for the Holidays (1995),Drama,Jodie Foster,"Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning, Dylan McDermott",/3zqlKdOttWyExzopVxglz50Vjxq.jpg,/lCugQmmEoUc5Z3U7IlBXNYjrtJi.jpg
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,Michael Radford,"Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta, Renato Scarpa, Linda Moretti",/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg,/32pvxFiXNo2TdNpBiuHN8k2Mr4K.jpg
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,Frank Oz,"Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins, Rishi Bhat",/ozQAmW85tTJu2dhRe3evzyY03Nb.jpg,/fKzQzmqsUDVbrH4dux9FcXtXLbQ.jpg
61,Eye for an Eye (1996),Drama|Thriller,John Schlesinger,"Sally Field, Kiefer Sutherland, Ed Harris, Beverly D'Angelo, Charlayne Woodard",/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,/lOiIE1MS7q756PYHYiAw6glruxZ.jpg
62,Mr. Holland's Opus (1995),Drama,Stephen Herek,"Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis, William H. Macy",/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,/oUptKQLatCgywVDx0ETVhq7knHt.jpg
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Paris Barclay,"Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones, Chris Spencer, Vivica A. Fox",/9gqMAFr81RCHzjUDUuDT2CllbTD.jpg,/dfkE2LppPbJ1qUzi3tdND5iuMFp.jpg
64,Two if by Sea (1996),Comedy|Romance,Bill Bennett,"Sandra Bullock, Denis Leary, Yaphet Kotto, Stephen Dillane, Tracey Cherelle Jones",/xSfqAMYqrTtDeAjPtYo0S8nc5Zz.jpg,/9YTwzhG4HcZICyWcwSGO3O9JBgw.jpg
65,Bio-Dome (1996),Comedy,Jason Bloom,"Pauly Shore, Stephen Baldwin, William Atherton, Joey Lauren Adams, Teresa Hill",/pjSkGZAvksrbO6tGain8PJ3rfC7.jpg,/4pXKbwEFGxvBMFq4QjOjljtVzdq.jpg
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Farhad Mann,"Patrick Bergin, Matt Frewer, Austin O'Brien, Ely Pouget, Camille Cooper",/aP8eGsCyZVCHgSMxhDa4KiC7H9B.jpg,/rCZfdhDuJJTwdUMpuaRiCm9jS0k.jpg
68,French Twist (Gazon maudit) (1995),Comedy|Romance,Josiane Balasko,"Victoria Abril, Josiane Balasko, Alain Chabat, Ticky Holgado, Catherine Hiegel",/xlLnHizshGBwMiNrnop2kg2nYzE.jpg,/eAexMnPNZG0Q9QNHNWWfr9iHLMf.jpg
69,Friday (1995),Comedy,F. Gary Gray,"Ice Cube, Chris Tucker, Nia Long, Tommy Lister Jr., John Witherspoon",/3Ya1RurP2NqaYoiok4DmfO41rCC.jpg,/y3E6gIZkRILqNmp7nCLkHPg0WXF.jpg
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,Robert Rodriguez,"George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis, Ernest Liu",/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg,/phiRQhfwZZeMMn3osvQUmGYmJbp.jpg
71,Fair Game (1995),Action,Andrew Sipes,"William Baldwin, Cindy Crawford, Steven Berkoff, Christopher McDonald, Miguel Sandoval",/qcxsWOzBaF7MZNNThtRQWQ9Wrdk.jpg,/iFfbBL8vtiuTkqb9Os7lO8y3KnY.jpg
72,Kicking and Screaming (1995),Comedy|Drama,Noah Baumbach,"Josh Hamilton, Olivia D'Abo, Chris Eigeman, Parker Posey, Jason Wiles",/ynAtSpTou7snNOq32djzILw9VCA.jpg,/hyG7Y6r0aQnE5ssoTyq8xSQmS25.jpg
73,"Misérables, Les (1995)",Drama|War,Claude Lelouch,"Jean-Paul Belmondo, Michel Boujenah, Alessandra Martines, Salomé Lelouch, Annie Girardot",/toQ6BJCiKVSnklpsma2GnJ6KKah.jpg,/9uQMik14eqfgc3pjeQEHOZiE0t1.jpg
74,Bed of Roses (1996),Drama|Romance,Michael Goldenberg,"Christian Slater, Mary Stuart Masterson, Pamela Adlon, Josh Brolin, Brian Tarantina",/zCXvHCEm8334d0d646ldDkXnKws.jpg,/p4JS5EvUKzCkqgHZdW7zdvm7sl.jpg
75,Big Bully (1996),Comedy|Drama,Steve Miner,"Rick Moranis, Tom Arnold, Julianne Phillips, Carol Kane, Jeffrey Tambor",/dws3JR4Yi325Tz33XnuXEB6XjGr.jpg,/tYGxW8kkZD8sCOIDi5je9Vk2Wjx.jpg
76,Screamers (1995),Action|Sci-Fi|Thriller,Christian Duguay,"Peter Weller, Jennifer Rubin, Roy Dupuis, Andrew Lauer, Liliana Komorowska",/eqgBf791rMZG7ywHfObpXeMpiRf.jpg,/7LMy4tZggDRa31ycv5ccnPtLspV.jpg
77,Nico Icon (1995),Documentary,Susanne Ofteringer,"Nico, Tina Aumont, Christian Aaron Boulogne, Jackson Browne, Jim Morrison",/w3oiJZTB1UP3lj0uSVLdsYfsBbC.jpg,/p5QEdBIWuBu3VRc71RvGe9nJFvJ.jpg
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,Sean Penn,"Jack Nicholson, David Morse, Anjelica Huston, Robin Wright, Piper Laurie",/kogaCIIylHmWQo2gJrrdq8Br8b8.jpg,/oi9RFxqb5Tncm7VvDnVT6sZUWyH.jpg
79,"Juror, The (1996)",Drama|Thriller,Brian Gibson,"Demi Moore, Alec Baldwin, Joseph Gordon-Levitt, Anne Heche, James Gandolfini",/31mRYhJvaknQx8PQnR2UV7YCkLT.jpg,/g0CGOIl3H1FDsqHpPzlfkhXAtv8.jpg
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,Jafar Panahi,"Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadr Orafaee, Anna Borkowska, Mohammad Shahani",/bamJR4MwtQDMdWkjVAPojfwOjY4.jpg,/jRLhcuyTPgcaCzrTKVTVrFDWrYo.jpg
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Gary Fleder,"Andy Garcia, Christopher Lloyd, William Forsythe, Bill Nunn, Treat Williams",/3LxYzYybOVpnw0juCSlNL5cj8NK.jpg,/J4l8AvrK8ByAjnoKposMLh3ubL.jpg
82,Antonia's Line (Antonia) (1995),Comedy|Drama,Marleen Gorris,"Willeke van Ammelrooy, Els Dottermans, Dora van der Groen, Veerle van Overloop, Carolien Spoor",/nUCVi6bBIL7LGC61nYaCqikAhIA.jpg,/sOkUBkwq21ZEThCX7wboY2Xl3m5.jpg
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Tim Reid,"Al Freeman Jr., Phylicia Rashād, Paula Kelly, Salli Richardson-Whitfield, Anna Maria Horsford",/2qeQStLy1wiqDFa1Dnm02f5UacO.jpg,/jWgp2Ai4jwRPhYlCnctMDMWzO6e.jpg
85,Angels and Insects (1995),Drama|Romance,Philip Haas,"Mark Rylance, Kristin Scott Thomas, Patsy Kensit, Jeremy Kemp, Douglas Henshall",/w1i5JdddoLuzSmnKo5ORDoKdMm2.jpg,/h5PrPi1fnGACJiYoIJxBpAkqhGU.jpg
86,White Squall (1996),Action|Adventure|Drama,Ridley Scott,"Jeff Bridges, Caroline Goodall, John Savage, Scott Wolf, Jeremy Sisto",/5xF4qy44Lvv68glS7eHWH7laTqt.jpg,/kpVQHZrBLUsB35S1pTbP8apgT5W.jpg
87,Dunston Checks In (1996),Children|Comedy,Ken Kwapis,"Sam the Orangutan, Jason Alexander, Faye Dunaway, Rupert Everett, Graham Sack",/xR2cWC04kWNr7TBeXNOf4uOqn00.jpg,/ArNNCDc3Ndg9d0PkkOYHsZeLsbo.jpg
88,Black Sheep (1996),Comedy,Penelope Spheeris,"Chris Farley, David Spade, Tim Matheson, Gary Busey, Chris Owen",/bqIW5oE4WeHAvk1nh2Y6rfOLGrF.jpg,/rJbDh4nIjxQFlFjK6k2SktTTT01.jpg
89,Nick of Time (1995),Action|Thriller,John Badham,"Johnny Depp, Courtney Chase, Charles S. Dutton, Christopher Walken, Roma Maffia",/A1FJwUVg84sQSjHVz5jVMXQvifJ.jpg,/u1JzntSiNw9vUCqYIOcNDajWwdZ.jpg
92,Mary Reilly (1996),Drama|Horror|Thriller,Stephen Frears,"Julia Roberts, John Malkovich, George Cole, Michael Gambon, Glenn Close",/cW5wTiv5fdtBOd22utmAIZBCMS3.jpg,/mErnrp6gxgSw7eYVnuos3k8EkWf.jpg
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Wes Craven,"Angela Bassett, Eddie Murphy, Allen Payne, Kadeem Hardison, John Witherspoon",/fodPA5x3REtOwColG17CucreZqM.jpg,/uQWHuHi4sdNS3U0dON14eY6Tsja.jpg
94,Beautiful Girls (1996),Comedy|Drama|Romance,Ted Demme,"Timothy Hutton, Matt Dillon, Noah Emmerich, Annabeth Gish, Lauren Holly",/sHcx1fBmrtZYvFmUywU0d5cvIFd.jpg,/5VfgNZJvJ6FcwF3PPQbpUIzILkQ.jpg
95,Broken Arrow (1996),Action|Adventure|Thriller,John Woo,"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo, Frank Whaley",/iBPMwYYJFvdCBkXrwV75peo5Lz2.jpg,/446lXnrT0vSIkeClW8bCN8KrnxN.jpg
96,In the Bleak Midwinter (1995),Comedy|Drama,Kenneth Branagh,"Michael Maloney, Richard Briers, Joan Collins, Nicholas Farrell, Julia Sawalha",/eUrv3E65orbuPnFikjpjso4TVBN.jpg,/iAxwce4twFKiBrW10rxnoTPfnuB.jpg
97,"Hate (Haine, La) (1995)",Crime|Drama,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili, Solo",/hY4exng4s29RzDbtQInjx9MA3PZ.jpg,/viGCwLxupyoaLsa6hrnu1gYrB0B.jpg
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Nick Broomfield,"Nick Broomfield, Heidi Fleiss, Madam Alex, Ivan Nagy, Corinne Bohrer",/laPSb9I8TuYslOh1OcgaTByWKnw.jpg,/1Hvs7hsAfDxtXPGqq5ZGSX4Aphb.jpg
100,City Hall (1996),Drama|Thriller,Harold Becker,"Al Pacino, John Cusack, Bridget Fonda, Danny Aiello, Martin Landau",/w7EkAl4Oi8Lc6VQKaqRHrOV3CxR.jpg,/9z9SwlbhlV1oaai2gPhyRE8xpIG.jpg
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Wes Anderson,"Luke Wilson, Owen Wilson, Robert Musgrave, Lumi Cavazos, James Caan",/6E7mJ5wpzTFbYFbJvTzzZ8Til9C.jpg,/yTDwyUEYHZTK35z7Iyp4QHxvVj9.jpg
102,Mr. Wrong (1996),Comedy,Nick Castle,"Ellen DeGeneres, Bill Pullman, Joan Cusack, Dean Stockwell, Joan Plowright",/csSkKS6rcGjG8jjpwKZPVCD7Kiq.jpg,/sNMFqW8HCorpOQYpAOGXb7ADQSV.jpg
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,John Dahl,"Ray Liotta, Linda Fiorentino, Peter Coyote, Christopher McDonald, David Paymer",/500Ne3EDn3HHpuCQWwGKR74r0cB.jpg,/qiHv4wmDEZsz1aMihaAMWhguhio.jpg
104,Happy Gilmore (1996),Comedy,Dennis Dugan,"Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay, Carl Weathers",/4RnCeRzvI1xk5tuNWjpDKzSnJDk.jpg,/As7NuiDRM4EO7LlJn2u8JWWsABp.jpg
105,"Bridges of Madison County, The (1995)",Drama|Romance,Clint Eastwood,"Meryl Streep, Clint Eastwood, Annie Corley, Victor Slezak, Jim Haynie",/aCBrhOQjhG397GLkEZ49zReQEKX.jpg,/4TnGcUsyd6ixuLWHaaEG5BGkAIp.jpg
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Doris Dörrie,"Maria Schrader, Pierre Sanoussi-Bliss, Michael von Au, Elisabeth Trissenaar, Joachim Król",/vBDJPkoTOKT9F1zx0y9tT7G62vF.jpg,/63BX5ZE1SgT2EIzu2WWiva1jQtH.jpg
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,Brian Henson,"Tim Curry, Kevin Bishop, Billy Connolly, Jennifer Saunders, Dave Goelz",/k4KW2CUkzDKaCy4H4cS02cO8gvV.jpg,/3RfNxQhvseerf9dNlo1dmL09RLr.jpg
108,Catwalk (1996),Documentary,Robert Leacock,"Christy Turlington, Azzedine Alaïa, Giorgio Armani, Nadja Auermann, Sandra Bernhard",/8Db2Tx2RkTUozzilF1SGMitcHLl.jpg,/uvUzW1MKfu5jwd6DuidnMVxU2vS.jpg
110,Braveheart (1995),Action|Drama|War,Mel Gibson,"Mel Gibson, Catherine McCormack, Sophie Marceau, Patrick McGoohan, Angus Macfadyen",/or1gBugydmjToAEq7OZY0owwFk.jpg,/1m1c5gIWWkb1FEC9lzsoXHhhs7b.jpg
